index,message,reply
1636,Sounds rough. Do you know about wikileaks?,"I applied for a job there, but they didn't hire me. Said my background wasn't suspicious enough. "
1637,"I applied for a job there, but they didn't hire me. Said my background wasn't suspicious enough. ",Hahhaha that is funny. did you know they figured out the government is trying to destroy them
1638,Hahhaha that is funny. did you know they figured out the government is trying to destroy them,"Well, they are Wikileaks, so they have a list of enemies pretty long. "
1639,"Well, they are Wikileaks, so they have a list of enemies pretty long. ",Yes that makes sense. Did you know a man in france sold the eiffer tower twice?
1640,Yes that makes sense. Did you know a man in france sold the eiffer tower twice?,"That man could probably sell the govt's land in Nevada for us! Well, I've had a swell time chatting!"
1641,"That man could probably sell the govt's land in Nevada for us! Well, I've had a swell time chatting!","Same here, have a good one."
1642,"Same here, have a good one.",Hi! Did you know the Prime Minister of Australia's position isn't actually in their constitution but only exists through custom? I find that surprising!
1643,Hi! Did you know the Prime Minister of Australia's position isn't actually in their constitution but only exists through custom? I find that surprising!,Wow I didn't know that. I also didn't know that the Prime Minister selects and then can dismiss members of the cabinet. I always wondered what they did
1644,Wow I didn't know that. I also didn't know that the Prime Minister selects and then can dismiss members of the cabinet. I always wondered what they did,"It's a little strange, isn't it? But on a lighter note, a radio station prank called Queen Elizabeth II back in 95, pretending to be Jean Chretien who was the Prime Minister of Canada back then. Ha!"
1645,"It's a little strange, isn't it? But on a lighter note, a radio station prank called Queen Elizabeth II back in 95, pretending to be Jean Chretien who was the Prime Minister of Canada back then. Ha!","That is very strange. Do you know who Helena Bonham Carter is? She was in the Harry Potter movies, but anyway she is the great-granddaughter of a prime minister"
1646,"That is very strange. Do you know who Helena Bonham Carter is? She was in the Harry Potter movies, but anyway she is the great-granddaughter of a prime minister","Is that so? I wonder if she used her family to become an actress? Ha! Well in Japan, their Prime Minister sends their residents a silver cup when they turn 100 to celebrate it. Problem is, so many are turning 100 now, they're having to find ways to make cheaper cups. That's a good thing though!"
1647,"Is that so? I wonder if she used her family to become an actress? Ha! Well in Japan, their Prime Minister sends their residents a silver cup when they turn 100 to celebrate it. Problem is, so many are turning 100 now, they're having to find ways to make cheaper cups. That's a good thing though!","That is a good thing! What do you think about Wikileaks by the way? Apparently the government try to destroy them, but Wikileaks just leaked their plans LOL"
1648,"That is a good thing! What do you think about Wikileaks by the way? Apparently the government try to destroy them, but Wikileaks just leaked their plans LOL","That's kind of ironic, isn't it? I wonder if Wikileaks will tell us what the government does with the 86% of Nevada's land that they own?"
1649,"That's kind of ironic, isn't it? I wonder if Wikileaks will tell us what the government does with the 86% of Nevada's land that they own?","That is a good question. Maybe it is Area 51 that they own haha? It's also crazy to think that Norway donated a billion dollars to help save the rainforest, I wonder if they own the land or just donated it"
1650,"That is a good question. Maybe it is Area 51 that they own haha? It's also crazy to think that Norway donated a billion dollars to help save the rainforest, I wonder if they own the land or just donated it",That's a good question. I'm glad they're taking action to protect the rainforests though! Did you ever hear about the guy in France who posed as a government official and sold the Eiffel Tower twice? It's like how did he pull that off? Someone like him could sell fire in hell! Ha!
1651,That's a good question. I'm glad they're taking action to protect the rainforests though! Did you ever hear about the guy in France who posed as a government official and sold the Eiffel Tower twice? It's like how did he pull that off? Someone like him could sell fire in hell! Ha!,Haha yes a very talented salesman for sure! Definitely a scam too. What do you think about the actor Johnny Depp by the way? He likes to live in France
1652,Haha yes a very talented salesman for sure! Definitely a scam too. What do you think about the actor Johnny Depp by the way? He likes to live in France,Does he really? I think he's a great actor. Although I'm not sure about his directing skills as I still haven't seen The Brave that he directed back in 1997!
1653,Does he really? I think he's a great actor. Although I'm not sure about his directing skills as I still haven't seen The Brave that he directed back in 1997!,"No I've never even heard of that movie. I do know that gives a good actor, I loved him in Edward Scissorhands even though he only said 196 words"
1654,"No I've never even heard of that movie. I do know that gives a good actor, I loved him in Edward Scissorhands even though he only said 196 words",That is weird to have so few lines like that! I can't believe Gene Wilder didn't watch the Willy Wonka remake because he didn't want to be disappointed in Depp. That is a little disappointing to me.
1655,That is weird to have so few lines like that! I can't believe Gene Wilder didn't watch the Willy Wonka remake because he didn't want to be disappointed in Depp. That is a little disappointing to me.,Yes that is disappointing. I hope that Johnny Depp goes through with making a biopic about dr. Seuss. That would actually be my first choice for a person to play him
1656,Yes that is disappointing. I hope that Johnny Depp goes through with making a biopic about dr. Seuss. That would actually be my first choice for a person to play him,"Agreed. That would be cool to see. I mean, I think that film would earn him another academy award nomination. I mean, He's already been nominated for three!"
1657,"Agreed. That would be cool to see. I mean, I think that film would earn him another academy award nomination. I mean, He's already been nominated for three!","Yes that is impressive! He seems like a nice guy, he adopted a one-eyed horse in one of his movies because they were going to put it down, that's nice thing to do"
1658,"Yes that is impressive! He seems like a nice guy, he adopted a one-eyed horse in one of his movies because they were going to put it down, that's nice thing to do","That's a very nice and humane thing to do! He's certainly come a long way since his rise in the 1980s with 21 Jump Street, hasn't he?"
1659,"That's a very nice and humane thing to do! He's certainly come a long way since his rise in the 1980s with 21 Jump Street, hasn't he?","Yes absolutely! It's crazy that he was born in 1963, I remember when he was just a young man"
1660,"Yes absolutely! It's crazy that he was born in 1963, I remember when he was just a young man",Absolutely! Back when he was just becoming a teen idol before going on to win Best Actor at both the Golden Globes and the Screen Actor's Guild Awards!
1661,Absolutely! Back when he was just becoming a teen idol before going on to win Best Actor at both the Golden Globes and the Screen Actor's Guild Awards!,Yes absolutely! I never knew that he was actually named John Christopher Depp II though. I wonder if his dad was also an actor?
1662,Yes absolutely! I never knew that he was actually named John Christopher Depp II though. I wonder if his dad was also an actor?,"I wonder that as well now that you mention it! Hey, maybe one day he'll run for a position in the government! Ha! I'm sure he's wise enough to know each government has a constitution in place which as you know is a statement of its philosophies and principles! Well it was great chatting with you! Have a good evening, friend!"
1663,"I wonder that as well now that you mention it! Hey, maybe one day he'll run for a position in the government! Ha! I'm sure he's wise enough to know each government has a constitution in place which as you know is a statement of its philosophies and principles! Well it was great chatting with you! Have a good evening, friend!","How's it going, do you watch Horror films? The first ones were inspired by Edgar Allan Poe and Mary Shelley"
1664,"How's it going, do you watch Horror films? The first ones were inspired by Edgar Allan Poe and Mary Shelley","I love horror movies, I am a stephen king fan!"
1665,"I love horror movies, I am a stephen king fan!",It's kinda strange Stephen King considers bambi a horror movie
1666,It's kinda strange Stephen King considers bambi a horror movie,"Right, it must have made him so scared as a kid. I think about the shining sometimes, good movie. The boy in the movie didnt know it was a horror movie until years later"
1667,"Right, it must have made him so scared as a kid. I think about the shining sometimes, good movie. The boy in the movie didnt know it was a horror movie until years later",I'm surprised the boy from the shinning couldn't figure out he was in a horror movie from the scenes with the bloody elevator and creepy twins
1668,I'm surprised the boy from the shinning couldn't figure out he was in a horror movie from the scenes with the bloody elevator and creepy twins,"right, or the guy breaking down the door. I wonder how the movie was at the box office"
1669,"right, or the guy breaking down the door. I wonder how the movie was at the box office","Probably pretty scary, apparently you can burn more than 180 calories watching a horror movie"
1670,"Probably pretty scary, apparently you can burn more than 180 calories watching a horror movie",Dang I need to watch like 10 per night for my diet since I don't do anything else lol
1671,Dang I need to watch like 10 per night for my diet since I don't do anything else lol,Watching horror movies also makes viewing abstract art more enjoyable too
1672,Watching horror movies also makes viewing abstract art more enjoyable too,"I wonder how that works, do you know the science behind it?"
1673,"I wonder how that works, do you know the science behind it?","I have no clue, probably something to do with psychology that makes abstract art more enjoyable after a horror movie"
1674,"I have no clue, probably something to do with psychology that makes abstract art more enjoyable after a horror movie","I bet. You know what else is scary, Treasure Island by disney only made 309 dollars on a 15000000 dollar budget!"
1675,"I bet. You know what else is scary, Treasure Island by disney only made 309 dollars on a 15000000 dollar budget!","Yea, that is pretty horrible. Treasure Planet by Disney was also a huge box office flop"
1676,"Yea, that is pretty horrible. Treasure Planet by Disney was also a huge box office flop","sorry I meant treasure planet lol. Silence of the lambs came out on valentines day, imagine that date? lol"
1677,"sorry I meant treasure planet lol. Silence of the lambs came out on valentines day, imagine that date? lol",Well it couldn't of been that bad since Silence of the lambs made 270 million at the box office
1678,Well it couldn't of been that bad since Silence of the lambs made 270 million at the box office,"for sure, I mean bringing your date to it! Almost as crazy as disney almost shutting down their studios because of sleeping beauty failing"
1679,"for sure, I mean bringing your date to it! Almost as crazy as disney almost shutting down their studios because of sleeping beauty failing","That is crazy. Do you like Tom Hanks, he's grossed over 8.5 billion at the box office"
1680,"That is crazy. Do you like Tom Hanks, he's grossed over 8.5 billion at the box office","Man, he should be in every movie at that much money! Youre guaranteed to make money at that rate i think"
1681,"Man, he should be in every movie at that much money! Youre guaranteed to make money at that rate i think","Yea, Tom Hanks is the highest all-time box office draw"
1682,"Yea, Tom Hanks is the highest all-time box office draw","That is amazing, great actor! good chatting with you!"
1683,"That is amazing, great actor! good chatting with you!",Have a good one
1684,Have a good one,Good Morning! Do you like to watch horror films?
1685,Good Morning! Do you like to watch horror films?,"Hi, how are you? I am not really a fan of the genre, though I have some favorites."
1686,"Hi, how are you? I am not really a fan of the genre, though I have some favorites.",What are some of your favorite ones? Stephen king considers Bambi one haha.
1687,What are some of your favorite ones? Stephen king considers Bambi one haha.,"King was just a kid, to be fair. That movie could be scary to a tiny child. He then turned his fright into a profession."
1688,"King was just a kid, to be fair. That movie could be scary to a tiny child. He then turned his fright into a profession.",You're right on that one. Did you know you can burn 180 calories watching one?
1689,You're right on that one. Did you know you can burn 180 calories watching one?,"I suppose that I could try to lose weight that way. It might be easier to exercise. I like a couple of films, but after the first viewing, they are not as scary."
1690,"I suppose that I could try to lose weight that way. It might be easier to exercise. I like a couple of films, but after the first viewing, they are not as scary.",Just do a marathon one day of watching them and you'll be set. Have you seen the Shining? The boy actor didn't even know it was a horror film until years later.
1691,Just do a marathon one day of watching them and you'll be set. Have you seen the Shining? The boy actor didn't even know it was a horror film until years later.,I liked the Shining. King wrote a great story and it translated well to the screen. I am surprised by the kid though. What did he think it was?
1692,I liked the Shining. King wrote a great story and it translated well to the screen. I am surprised by the kid though. What did he think it was?,That is a good question. You would think watching the cinematography alone would let you know it was one!
1693,That is a good question. You would think watching the cinematography alone would let you know it was one!,I wonder if he ever saw the film while he was a kid. I think maybe his parents wouldn't let him. 
1694,I wonder if he ever saw the film while he was a kid. I think maybe his parents wouldn't let him. ,That could be it! Did you know no woman has ever been nominated for best cinematography at the oscars?
1695,That could be it! Did you know no woman has ever been nominated for best cinematography at the oscars?,"That is a shame. I don't know how many women cinematographers there are, but probably not enough. There should be more."
1696,"That is a shame. I don't know how many women cinematographers there are, but probably not enough. There should be more.",I agree with you! Especially with the box office at what it is. I would hate to work for the movie Trojan Wars. They made only 309 dollars on a budget of 15 million!
1697,I agree with you! Especially with the box office at what it is. I would hate to work for the movie Trojan Wars. They made only 309 dollars on a budget of 15 million!,"Movies are such a crapshoot. There is no magic formula for success. Stars, special FX, marketing. Doesn't matter."
1698,"Movies are such a crapshoot. There is no magic formula for success. Stars, special FX, marketing. Doesn't matter.","They really are, even with the big names. Tom Hanks has earned 8.5 billion in film earnings for his movies."
1699,"They really are, even with the big names. Tom Hanks has earned 8.5 billion in film earnings for his movies.",He is a bankable star. People love him. But he also works with certain people regularly. Spielberg. Zemeckis. They are capable directors.
1700,He is a bankable star. People love him. But he also works with certain people regularly. Spielberg. Zemeckis. They are capable directors.,Oh for sure! Have you seen Disney's Treasure Planet? That was one of the most expensive box office flops ever.
1701,Oh for sure! Have you seen Disney's Treasure Planet? That was one of the most expensive box office flops ever.,I did not. Was that animated? Usually animated stuff is pretty good. I'm surprised.
1702,I did not. Was that animated? Usually animated stuff is pretty good. I'm surprised.,"I am surprised too, especially with the Disney name attached to it!"
1703,"I am surprised too, especially with the Disney name attached to it!",I guess a lot depends on the director. I don't know who directed Treasure Planet.
1704,I guess a lot depends on the director. I don't know who directed Treasure Planet.,I am going to google that now. Have a good day!
1705,I am going to google that now. Have a good day!,Are you a soccer or tennis fan?
1706,Are you a soccer or tennis fan?,"Well I personally prefer tennis, but I also like lacrosse, did you hear about the spring all met boys lacrosse team?"
1707,"Well I personally prefer tennis, but I also like lacrosse, did you hear about the spring all met boys lacrosse team?","No, what was that?"
1708,"No, what was that?","Well they want a lot of Awards this year, and I think they're going to do even better next year"
1709,"Well they want a lot of Awards this year, and I think they're going to do even better next year",I will have to follow them. Tennis is fun too. a black man won the us open in 1968 and no other black man has since then. That would be award worthy
1710,I will have to follow them. Tennis is fun too. a black man won the us open in 1968 and no other black man has since then. That would be award worthy,"Yes they should make a movie about him! it's interesting to that until 1978 you could use any object as a tennis racket, that sounds dangerous"
1711,"Yes they should make a movie about him! it's interesting to that until 1978 you could use any object as a tennis racket, that sounds dangerous",That would be hilarious to see what some  people came up with. What would  you use? lol
1712,That would be hilarious to see what some  people came up with. What would  you use? lol,I would use a rocket launcher LOL just kidding. do you watch soccer at all? Apparently soccer makes more than all other sports combined
1713,I would use a rocket launcher LOL just kidding. do you watch soccer at all? Apparently soccer makes more than all other sports combined,"Lol that would be perfect, no opponent means you  win everytime! "
1714,"Lol that would be perfect, no opponent means you  win everytime! ","That's a great point! Did you know that table tennis is the name of the actual sport, and that ping pong is only the name of the company that sells the table tennis equipment?"
1715,"That's a great point! Did you know that table tennis is the name of the actual sport, and that ping pong is only the name of the company that sells the table tennis equipment?","I did not know that, wow! Mind blown! Back to soccer, did you have a favorite team in the world cup?"
1716,"I did not know that, wow! Mind blown! Back to soccer, did you have a favorite team in the world cup?",No I don't. I really don't like soccer I think it's boring LOL it's weird to me that the Super Bowl is smaller than soccer's biggest events
1717,No I don't. I really don't like soccer I think it's boring LOL it's weird to me that the Super Bowl is smaller than soccer's biggest events,"it is boring, but it is kind of fun to watch one week per 4 years lol. I liked Brazil"
1718,"it is boring, but it is kind of fun to watch one week per 4 years lol. I liked Brazil","Well soccer is a good exercise though, apparently a player will run about 7 miles per game, that's good for burning calories"
1719,"Well soccer is a good exercise though, apparently a player will run about 7 miles per game, that's good for burning calories","so good, they always have tight bodies lol. There was a german soccer player who donated 300000 euros to help pay for surgeries in brazil"
1720,"so good, they always have tight bodies lol. There was a german soccer player who donated 300000 euros to help pay for surgeries in brazil","That's really nice of him! What a nice guy, why do you think Greenland can't join FIFA? Apparently it's because they can't grow green grass LOL"
1721,"That's really nice of him! What a nice guy, why do you think Greenland can't join FIFA? Apparently it's because they can't grow green grass LOL","lol, that is a valid point but don't you think they could use turf? That is a little wrong i think "
1722,"lol, that is a valid point but don't you think they could use turf? That is a little wrong i think ","Yep I agree it seems stupid. I don't know why they need to play on grass specifically, did you hear about the longest tennis point of all time?"
1723,"Yep I agree it seems stupid. I don't know why they need to play on grass specifically, did you hear about the longest tennis point of all time?",I didn't what was that?
1724,I didn't what was that?,"I was asking about the longest point in pro tennis, apparently it lasted for 29 minute straight, it was a 600 shot rally, that's incredible"
1725,"I was asking about the longest point in pro tennis, apparently it lasted for 29 minute straight, it was a 600 shot rally, that's incredible","Wow, great chatting with you!"
1726,"Wow, great chatting with you!",Hello
1727,Hello,Hi. Do you play tennis?
1728,Hi. Do you play tennis?,"I used to and love it.  Polo shirts were originally invented for tennis by famous player rene ""the crocodile"" lacoste and only later adopted by polo players"
1729,"I used to and love it.  Polo shirts were originally invented for tennis by famous player rene ""the crocodile"" lacoste and only later adopted by polo players",I once watched a match where single point lasted nearly 30 minutes. It was historic
1730,I once watched a match where single point lasted nearly 30 minutes. It was historic,"Wow, They used a helicopter to dry the grass tennis courts for the 1969 us open"
1731,"Wow, They used a helicopter to dry the grass tennis courts for the 1969 us open",I remember when players could use just about everything for a racket except the kitchen sink
1732,I remember when players could use just about everything for a racket except the kitchen sink,"Haha, The longest match in tennis history went on for 11 hours and was spread over 3 days."
1733,"Haha, The longest match in tennis history went on for 11 hours and was spread over 3 days.",Do you know who played in that match?
1734,Do you know who played in that match?,"No, I sure don't.  I bet they were worn out though."
1735,"No, I sure don't.  I bet they were worn out though.",Tennis players make quite a bit of money if they win a tournament but not as much as soccer players
1736,Tennis players make quite a bit of money if they win a tournament but not as much as soccer players,"Yes, they do.  On another note, did you know that the rapper drake graduated high school on october 2012 at the age of 25"
1737,"Yes, they do.  On another note, did you know that the rapper drake graduated high school on october 2012 at the age of 25",That is a little late isn't it or do Canadians graduate at a later age?
1738,That is a little late isn't it or do Canadians graduate at a later age?,"Haha, that is very late.  Probably a ssllooww learner.  The beat of drake's song ""hotline bling"" is actually sampled from timmy thomas' 1972 hit ""why we can't live together""."
1739,"Haha, that is very late.  Probably a ssllooww learner.  The beat of drake's song ""hotline bling"" is actually sampled from timmy thomas' 1972 hit ""why we can't live together"".",I absolutely love his music!
1740,I absolutely love his music!,"During a uk tour in 2011, drake spent an Obscene amount of money'' on first editions of children's classic books  Charlotte's web' and  Winnie the pooh'."
1741,"During a uk tour in 2011, drake spent an Obscene amount of money'' on first editions of children's classic books  Charlotte's web' and  Winnie the pooh'.",I wonder why he would do that. He doesn't seem like he is into reading seeing as though he graduated high school so late
1742,I wonder why he would do that. He doesn't seem like he is into reading seeing as though he graduated high school so late,"Good question.  After hearing eminem's verse on drake's song forever, kanye west took two days and cancelled appointments to rewrite his."
1743,"Good question.  After hearing eminem's verse on drake's song forever, kanye west took two days and cancelled appointments to rewrite his.",Didn't Drake do some acting when he was younger?
1744,Didn't Drake do some acting when he was younger?,Yes.  Drake initially gained recognition as an actor on the teen drama television series Degrassi: The Next Generation in the early 2000s.
1745,Yes.  Drake initially gained recognition as an actor on the teen drama television series Degrassi: The Next Generation in the early 2000s.,"They named a college after him too, didn't they?"
1746,"They named a college after him too, didn't they?",I'm not sure about that.
1747,I'm not sure about that.,I'm gonna go listen to his album on YouTube now. 
1748,I'm gonna go listen to his album on YouTube now. ,"Hello,  how are you doing? Soccer makes more money than football, basketball, baseball, golf, tennis and hockey combined."
1749,"Hello,  how are you doing? Soccer makes more money than football, basketball, baseball, golf, tennis and hockey combined.","Hello, I'm doing great. Have you ever watched the variation that has three teams, instead of two?"
1750,"Hello, I'm doing great. Have you ever watched the variation that has three teams, instead of two?",Nope.  Did you know Jon stewart was a skilled soccer player in college and represented the us at the pan american maccabi games in brazil in 1983.
1751,Nope.  Did you know Jon stewart was a skilled soccer player in college and represented the us at the pan american maccabi games in brazil in 1983.,"I do not follow soccer, I do remember reading about the German player who donated his bonus so 23 kids could have surgery."
1752,"I do not follow soccer, I do remember reading about the German player who donated his bonus so 23 kids could have surgery.","Wow so generous!  thats amazing! Americans call it ""soccer"" because it was slang for association football"
1753,"Wow so generous!  thats amazing! Americans call it ""soccer"" because it was slang for association football",I find it fascinating that they used to dry the tennis couts for the 69' US Open with helicopters. I would have loved to see that.
1754,I find it fascinating that they used to dry the tennis couts for the 69' US Open with helicopters. I would have loved to see that.,Seems like a huge expense lol
1755,Seems like a huge expense lol,"I didn't know the rapper Drake, was Canadian, did you?"
1756,"I didn't know the rapper Drake, was Canadian, did you?","Yes. During a uk tour in 2011, drake spent an ""obscene amount of money'' on first editions of children's classic books 'charlotte's web' and 'winnie the pooh'."
1757,"Yes. During a uk tour in 2011, drake spent an ""obscene amount of money'' on first editions of children's classic books 'charlotte's web' and 'winnie the pooh'.","That's sweet, and it's interesting that he chose to graduate at 25, instead of getting his GED."
1758,"That's sweet, and it's interesting that he chose to graduate at 25, instead of getting his GED.","Yeah,  maybe he really liked his friends that were still in the high school. "
1759,"Yeah,  maybe he really liked his friends that were still in the high school. ","Kanye is so sensitive, I cannot believe that he actually cancelled appointments to rewrite his part of a song with Drake, after hearing Eminiem's verse."
1760,"Kanye is so sensitive, I cannot believe that he actually cancelled appointments to rewrite his part of a song with Drake, after hearing Eminiem's verse.","Yeah,  he definitely is sensitive. "
1761,"Yeah,  he definitely is sensitive. ","Did you watch the show Degrassi? He was an actor on it, I've never heard of it."
1762,"Did you watch the show Degrassi? He was an actor on it, I've never heard of it.",I've heard of it never watched it though.  Is that Disney?
1763,I've heard of it never watched it though.  Is that Disney?,"I'm not sure, as I've never watched it, even though it was on for seven years."
1764,"I'm not sure, as I've never watched it, even though it was on for seven years.",The rapper drake visited drake university in the middle of the night after students gave up trying to get him to visit during a tour stop.
1765,The rapper drake visited drake university in the middle of the night after students gave up trying to get him to visit during a tour stop.,"That's funny, I bet he made their night. I was surprised to hear that he is signed with Lil' Wayne's label, instead of Dre's Death Row."
1766,"That's funny, I bet he made their night. I was surprised to hear that he is signed with Lil' Wayne's label, instead of Dre's Death Row.","Yes,  that was very interesting,  although either way he still would've made a lot of money"
1767,"Yes,  that was very interesting,  although either way he still would've made a lot of money","I think One Dance is my favorite by him, it's also one of his most popular."
1768,"I think One Dance is my favorite by him, it's also one of his most popular.","me too,  that song was great!  good talking to you "
1769,"me too,  that song was great!  good talking to you ","Hi, do you know anything about lacrosse?"
1770,"Hi, do you know anything about lacrosse?","Hello there, I don't know too much I will say, how about you"
1771,"Hello there, I don't know too much I will say, how about you",Not a ton... I love sports though so I could get into it if I needed to. Do you like any other sports?
1772,Not a ton... I love sports though so I could get into it if I needed to. Do you like any other sports?,"Yeah same here, I like to be able to at least play every sport just a bit once. Do you follow tennis at all?"
1773,"Yeah same here, I like to be able to at least play every sport just a bit once. Do you follow tennis at all?",I do. I used to play a lot but not any more. Do you play too?
1774,I do. I used to play a lot but not any more. Do you play too?,"I have tried to play a few times, but that game is pretty tough.  Did you know you could use any object as a racket until 1978?  Wonder if anyone ever used anything strange. "
1775,"I have tried to play a few times, but that game is pretty tough.  Did you know you could use any object as a racket until 1978?  Wonder if anyone ever used anything strange. ",Probably but not in serious competitions. A tennis player actually invented the polo! Who knew!
1776,Probably but not in serious competitions. A tennis player actually invented the polo! Who knew!,"Lol, that is pretty funny, and now they have the polo players on there, I bet the company wants people to think they invented them. "
1777,"Lol, that is pretty funny, and now they have the polo players on there, I bet the company wants people to think they invented them. ","The player was Rene ""The crocodile"" lacoste. His company uses the alligator and is called Lacoste still!"
1778,"The player was Rene ""The crocodile"" lacoste. His company uses the alligator and is called Lacoste still!","That is awesome, yeah I still see the alligator shirts around a bit these days.  What a cool name!"
1779,"That is awesome, yeah I still see the alligator shirts around a bit these days.  What a cool name!",They use helicopters to dry us open tennis courts. Who knew!
1780,They use helicopters to dry us open tennis courts. Who knew!,I heard about that!  During a major tournament or something right?
1781,I heard about that!  During a major tournament or something right?,"Yeah, the US open. Seems like they should have been more prepared."
1782,"Yeah, the US open. Seems like they should have been more prepared.","Yeah, but, to me that is pretty good improvisation for whoever came with that idea. "
1783,"Yeah, but, to me that is pretty good improvisation for whoever came with that idea. ",Agreed. I work in recreation facilities and would not have thought of calling in a helicopter for any of my isssues.
1784,Agreed. I work in recreation facilities and would not have thought of calling in a helicopter for any of my isssues.,Right same here (if i did work in that area).  Do you know what the longest rally was in tennis history?
1785,Right same here (if i did work in that area).  Do you know what the longest rally was in tennis history?,I have no idea. How long?
1786,I have no idea. How long?,"It was a 643 shot rally that went on for almost 30 minutes!  That is insane, those people must have been tired after that one lol. "
1787,"It was a 643 shot rally that went on for almost 30 minutes!  That is insane, those people must have been tired after that one lol. ",I know. The longest match in history was 11 hours over 3 days! 
1788,I know. The longest match in history was 11 hours over 3 days! ,"Holy cow, I wonder how many people that started watching that match actually finished?"
1789,"Holy cow, I wonder how many people that started watching that match actually finished?","I would have fallen asleep, all three days! Nice chatting with you!"
1790,"I would have fallen asleep, all three days! Nice chatting with you!",Hello there. Have you ever played the guitar or piano?
1791,Hello there. Have you ever played the guitar or piano?,no. I would have liked to play but never did. Fan of guitar players from the 60s and 70s
1792,no. I would have liked to play but never did. Fan of guitar players from the 60s and 70s,"oh nice! That reminds me, Eddie van Halen actually set a studio speaker on fire from playing the guitar solo for Beat It, 
"
1793,"oh nice! That reminds me, Eddie van Halen actually set a studio speaker on fire from playing the guitar solo for Beat It, 
",I have heard that. Hendrix set his guitar on fire at Woodstock.
1794,I have heard that. Hendrix set his guitar on fire at Woodstock.,"That just shows how badass they are, haha! The best guitarists are the ones that set stuff on fire from playing... or have a phd in astrophysics like the one from Queen."
1795,"That just shows how badass they are, haha! The best guitarists are the ones that set stuff on fire from playing... or have a phd in astrophysics like the one from Queen.",Yes. He is a smart guy.
1796,Yes. He is a smart guy.,Do you know how to play the guitar? 
1797,Do you know how to play the guitar? ,No. I wish that I did
1798,No. I wish that I did,"Same here. Whenever i watch people, it looks so easy to pick up and learn... until you actually try to learn and realize its alot harder than it looks hah. Taking the time to build up muscles in your fingers is hard work."
1799,"Same here. Whenever i watch people, it looks so easy to pick up and learn... until you actually try to learn and realize its alot harder than it looks hah. Taking the time to build up muscles in your fingers is hard work.",Its a great musical instrument
1800,Its a great musical instrument,This is true. That statement also goes well with piano's. There's so many talented artists out there that can play the piano and guitar. Did you know that Freddie Mercury used the same piano to record Bohemian rhapsody as paul mccartney used to record hey jude? That must be a super lucky piano.
1801,This is true. That statement also goes well with piano's. There's so many talented artists out there that can play the piano and guitar. Did you know that Freddie Mercury used the same piano to record Bohemian rhapsody as paul mccartney used to record hey jude? That must be a super lucky piano.,Yes. That piano must be worth a bit of money
1802,Yes. That piano must be worth a bit of money,I could only imagine. I wonder where they keep that piano. 
1803,I could only imagine. I wonder where they keep that piano. ,it should be in the rock and roll hall of fame
1804,it should be in the rock and roll hall of fame,As it should be. It would be so awesome to see it in person. 
1805,As it should be. It would be so awesome to see it in person. ,A long time ago at the fillmore east I saw grand funk railroad. Talk about loud and sparks flying
1806,A long time ago at the fillmore east I saw grand funk railroad. Talk about loud and sparks flying,Oh nice! I haven't heard of that band until now. What is some popular songs that they have? I want to look them up and give them a listen.
1807,Oh nice! I haven't heard of that band until now. What is some popular songs that they have? I want to look them up and give them a listen.,"Were an American band, Im your Captain, Some kind of wonderful, are some hits they had in the 1970s"
1808,"Were an American band, Im your Captain, Some kind of wonderful, are some hits they had in the 1970s","Cool! I'm listening to Were an American band right now, i reeeeaally love the guitar playing!"
1809,"Cool! I'm listening to Were an American band right now, i reeeeaally love the guitar playing!",Mark Farner i think was lead guitar
1810,Mark Farner i think was lead guitar,Nice! Well thank you for opening up my ears to some new awesome music. Now i got some new stuff to listen to. It's been a pleasure chatting with you about guitars and piano's. :)
1811,Nice! Well thank you for opening up my ears to some new awesome music. Now i got some new stuff to listen to. It's been a pleasure chatting with you about guitars and piano's. :),The Hypocrites put on really amusing stage productions!
1812,The Hypocrites put on really amusing stage productions!,"Yes, I would love to go and check Pirates, Pinafore and the Mikado"
1813,"Yes, I would love to go and check Pirates, Pinafore and the Mikado",i heard that the group does them as a pajama party!
1814,i heard that the group does them as a pajama party!,That is a living dream. A pajama party and a live satirical operetta with talented musician clowns. that is something else
1815,That is a living dream. A pajama party and a live satirical operetta with talented musician clowns. that is something else,The use of a pillow pit might be a little bit disturbing for some!
1816,The use of a pillow pit might be a little bit disturbing for some!,It might. And it is nice they start with sweet dreams from Eurythmics
1817,It might. And it is nice they start with sweet dreams from Eurythmics,live players doing popular music like Dream On as part of the show is surprising!
1818,live players doing popular music like Dream On as part of the show is surprising!,"They play with music and even with toys. They did release beach balls in pirates of penzance, fun"
1819,"They play with music and even with toys. They did release beach balls in pirates of penzance, fun",They also swap genders in the production of Pinafore.
1820,They also swap genders in the production of Pinafore.,"the price is not expensive, $30 to $74"
1821,"the price is not expensive, $30 to $74","Not unexpected, given that the theater only holds 100 or so people."
1822,"Not unexpected, given that the theater only holds 100 or so people.",How much do you like jazz
1823,How much do you like jazz,"I dig it.    Jazz is a music genre that originated in the African-American communities of New Orleans, United States"
1824,"I dig it.    Jazz is a music genre that originated in the African-American communities of New Orleans, United States","It  is fascinating, comes from ragtime and blues and it is called the Classical music of America"
1825,"It  is fascinating, comes from ragtime and blues and it is called the Classical music of America","Cool jazz developed near the end of the 1940s, and is more modern."
1826,"Cool jazz developed near the end of the 1940s, and is more modern.",It did spread around the world and gave origin to different styles around the world
